Subject,date,Session Distance (mi),Session Active Time (min),Session Load,Session Top Speed (ft/s),Session Peak Accel (m/s/s),Session Peak Decel (m/s/s),Sprints Count,Sprints Max TopSpeed (ft/s),Sprints Avg TopSpeed (ft/s),Sprints Distance (yrd),Sprints Volume,Explosiveness Count,Explosiveness Mean Accel (m/s/s),SpeedZones (Duration) 2m/s (min),SpeedZones (Duration) 3m/s (min),SpeedZones (Duration) 4m/s (min),SpeedZones (Duration) 5m/s (min),SpeedZones (Duration) 6m/s (min),SpeedZones (Duration) 7m/s (min),SpeedZones (Duration) 8m/s (min),SpeedZones (Duration) 9m/s (min),SpeedZones (Distance) 2m/s (mi),SpeedZones (Distance) 3m/s (mi),SpeedZones (Distance) 4m/s (mi),SpeedZones (Distance) 5m/s (mi),SpeedZones (Distance) 6m/s (mi),SpeedZones (Distance) 7m/s (mi),SpeedZones (Distance) 8m/s (mi),SpeedZones (Distance) 9m/s (mi),SpeedBands (Duration) Band1 (min),SpeedBands (Duration) Band2 (min),SpeedBands (Duration) Band3 (min),SpeedBands (Duration) Band4 (min),SpeedBands (Duration) Band5 (min),SpeedBands (Distance) Band1 (mi),SpeedBands (Distance) Band2 (mi),SpeedBands (Distance) Band3 (mi),SpeedBands (Distance) Band4 (mi),SpeedBands (Distance) Band5 (mi),SpeedBands Personal (Duration) Personal Band (Duration) (min),SpeedBands Personal (Distance) Personal Band (Distance) (mi),Accel/Decel Zones Decel -1m/s/s,Accel/Decel Zones Decel -2m/s/s,Accel/Decel Zones Decel -3m/s/s,Accel/Decel Zones Decel -4m/s/s,Accel/Decel Zones Decel -5m/s/s,Accel/Decel Zones Accel 1m/s/s,Accel/Decel Zones Accel 2m/s/s,Accel/Decel Zones Accel 3m/s/s,Accel/Decel Zones Accel 4m/s/s,Accel/Decel Zones Accel 5m/s/s
1,2023-02-17,2.73,27.97,70.0,19.87,5.74,6.26,9,19.87,18.17,187,175.0,9,2.5,10.38,4.55,1.67,0.3,0.01,0.0,0.0,0.0,0.95,0.56,0.28,0.05,0.0,0.0,0.0,0.0,21.42,6.22,0.32,0.0,0.0,1.49,0.84,0.06,0.0,0.0,0.3,0.057,100,35,8,1,0,90,41,15,0,1
1,2023-02-20,2.0,17.38,117.3,22.05,4.58,3.79,15,22.05,19.32,809,748.2,15,3.2,5.14,2.85,1.05,1.53,0.32,0.0,0.0,0.0,0.49,0.35,0.18,0.31,0.07,0.0,0.0,0.0,11.55,3.9,1.85,0.0,0.0,0.79,0.52,0.39,0.0,0.0,1.9,0.388,73,19,2,0,0,68,19,12,4,0
1,2023-02-22,2.3,28.11,26.2,18.94,3.69,5.07,1,18.67,18.67,20,20.3,1,2.6,9.25,2.26,0.31,0.04,0.0,0.0,0.0,0.0,0.71,0.26,0.04,0.01,0.0,0.0,0.0,0.0,25.52,2.58,0.04,0.0,0.0,1.31,0.3,0.01,0.0,0.0,0.0,0.006,154,27,3,1,1,146,38,7,0,0
1,2023-02-24,3.43,34.66,89.1,20.21,4.93,4.74,8,20.21,18.65,277,256.3,8,3.2,9.47,6.78,1.67,0.55,0.01,0.0,0.0,0.0,0.88,0.84,0.27,0.11,0.0,0.0,0.0,0.0,25.64,8.45,0.56,0.0,0.0,1.65,1.12,0.11,0.0,0.0,0.6,0.11,169,47,14,2,0,130,81,35,7,0
1,2023-03-13,1.58,13.81,65.8,20.63,4.59,3.8,7,20.63,19.31,357,329.1,7,3.4,3.96,3.66,0.66,0.67,0.11,0.0,0.0,0.0,0.37,0.46,0.11,0.14,0.03,0.0,0.0,0.0,8.72,4.33,0.79,0.0,0.0,0.59,0.57,0.16,0.0,0.0,0.8,0.163,64,16,6,0,0,48,24,8,4,0
1,2023-03-16,2.18,21.49,48.6,21.06,4.58,3.87,4,21.06,18.71,92,85.8,4,3.9,5.29,5.14,0.74,0.12,0.03,0.0,0.0,0.0,0.49,0.64,0.12,0.02,0.01,0.0,0.0,0.0,15.32,5.88,0.16,0.0,0.0,0.96,0.76,0.03,0.0,0.0,0.2,0.032,158,44,7,0,0,106,77,15,2,0
1,2023-03-20,1.55,16.67,23.5,17.67,3.47,3.96,0,0.0,0.0,0,0.0,0,0.0,5.74,2.44,0.36,0.01,0.0,0.0,0.0,0.0,0.43,0.27,0.05,0.0,0.0,0.0,0.0,0.0,13.76,2.8,0.01,0.0,0.0,0.71,0.32,0.0,0.0,0.0,0.0,0.004,115,38,6,0,0,104,41,7,0,0
1,2023-03-27,2.63,24.25,120.1,23.31,4.79,5.18,12,23.31,20.05,590,545.3,12,3.4,6.48,6.11,0.66,0.79,0.56,0.01,0.0,0.0,0.6,0.74,0.11,0.16,0.13,0.0,0.0,0.0,16.04,6.76,1.35,0.01,0.0,1.06,0.85,0.29,0.0,0.0,1.4,0.294,139,31,5,1,1,93,52,15,8,0
1,2023-03-31,1.85,19.07,53.8,23.34,5.33,5.36,4,23.34,21.53,195,179.1,4,4.2,5.39,3.27,0.44,0.18,0.22,0.02,0.0,0.0,0.49,0.41,0.07,0.04,0.05,0.0,0.0,0.0,14.98,3.71,0.39,0.02,0.0,0.95,0.48,0.09,0.0,0.0,0.4,0.093,101,32,10,1,1,89,43,11,4,0
1,2023-04-03,2.88,30.27,124.2,23.19,4.22,4.33,13,23.19,19.57,564,528.5,13,2.9,8.6,5.5,1.82,0.81,0.39,0.0,0.0,0.0,0.7,0.64,0.31,0.16,0.09,0.0,0.0,0.0,21.8,7.32,1.2,0.0,0.0,1.14,0.95,0.25,0.0,0.0,1.2,0.25,167,71,15,2,0,170,67,20,1,0
1,2023-04-13,1.96,18.12,78.2,20.37,5.99,5.17,12,20.37,18.93,388,359.7,12,2.3,4.56,4.33,1.24,0.79,0.06,0.0,0.0,0.0,0.42,0.53,0.21,0.16,0.01,0.0,0.0,0.0,11.71,5.57,0.84,0.0,0.0,0.76,0.74,0.17,0.0,0.0,0.8,0.17,76,32,12,4,1,64,34,25,6,1
